,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
T4 Eastern Suburbs and Illawarra Line,Free Travel,4739,6446,6427,6084,6650,5877,5248,5895,6779,5561,6716,6321,6235,6929,5711,5893,6310,5565,5181,5556,5929,5942,6725,5799,6594,6859,6273,7375,7662,5915,6155,6692,7128,6226
T4 Eastern Suburbs and Illawarra Line,School Student,72369,171232,124366,115269,152614,62428,10495,155265,182612,63008,185315,152021,79706,176439,117224,115381,146245,55404,12237,153184,161879,67841,186156,154573,77247,179613,155625,99384,168429,74772,13622,176732,190185,97609
T4 Eastern Suburbs and Illawarra Line,Senior/Pensioner,425179,478079,470868,464795,508918,485480,426432,445371,506606,449173,505792,468581,471775,498905,475199,491792,502185,485194,447643,468853,486162,466364,520894,467958,486953,506312,468524,505534,523421,468813,458011,483951,499687,461431
T4 Eastern Suburbs and Illawarra Line,Sgl Trip Rail Adult,9115,38489,40215,39610,44367,51040,42179,38877,44281,38670,35669,36823,40092,43164,41994,46665,47497,54181,45404,43880,45737,40394,41472,40228,37817,38567,36260,41880,43350,38917,34427,29590,33018,27432
T4 Eastern Suburbs and Illawarra Line,Sgl Trip Rail Child/Youth,2525,7702,10108,9427,9007,14520,13180,7605,9184,12213,8361,9309,13343,10468,12098,11450,9596,15353,14325,9461,10067,13179,9605,10479,12817,9445,9298,11290,9374,11600,12410,6887,7871,9711
T5 Cumberland Line,Adult,335951,372709,358049,349051,362326,322395,306808,333810,393522,329044,401137,377855,350467,417174,376426,407891,413545,403279,355946,407412,451455,504958,480176,470595,484141,520653,480011,513278,475774,507801,443304,424774,539652,470819
T5 Cumberland Line,Child/Youth,13530,12060,14349,15450,13615,19870,21600,12905,14727,19783,12476,15732,19117,13157,17306,17954,15538,24702,22857,15150,17926,26412,14284,18125,23153,16205,17408,20820,16114,29006,26971,14641,19212,23387
T5 Cumberland Line,Concession,43237,52604,41002,39062,30756,23573,21631,28428,58477,41131,54344,36720,31190,58907,41992,45398,34800,29105,23981,31409,60797,61181,60352,43370,39351,66978,50203,51177,35882,33746,27272,33942,68148,54090
T5 Cumberland Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,4862,5489,5599,7325,7402
T5 Cumberland Line,Employee,2743,3250,3264,2972,3369,2790,2525,3060,3674,2737,3521,3224,2744,3537,2863,3027,3199,2911,2380,2944,3180,3748,3560,3416,3377,3381,3036,3293,3224,3895,2863,3051,3800,3375
T5 Cumberland Line,Free Travel,98,129,132,131,137,108,84,118,140,112,146,119,107,114,93,89,85,80,75,95,107,143,118,107,124,135,92,141,133,196,97,120,139,128
